id,batch,batch__name,employer_name,employer_logo_url,number,gross_total,job_title
4377,23,Nov 16-30 2021 Network Fees,Tirios Corporation (391),https://d1m1s6un1a8qgj.cloudfront.net/static/default-avatar-squared.png,391-7,168.0,Front End Web Developer (React.js)
4376,23,Nov 16-30 2021 Network Fees,TaskRabbit (16),https://d1m1s6un1a8qgj.cloudfront.net/media/cache/52/46/5246a6ad3c76a6e72b08b2c53d12e8e5.png,16-260,224.0,TaskRabbit Full Stack Engineer
4375,23,Nov 16-30 2021 Network Fees,Twitter (452),https://d1m1s6un1a8qgj.cloudfront.net/media/cache/cb/53/cb530b2cfbcae799db729aa2546edd63.png,452-12,1344.0,Sr. Product Designer
4374,23,Nov 16-30 2021 Network Fees,HOVER Inc. (139),https://d1m1s6un1a8qgj.cloudfront.net/media/cache/d5/e3/d5e3579c353184ae145c0ae058ce3014.png,139-13,291.52,Sr Front-End Engineer
4373,23,Nov 16-30 2021 Network Fees,Teladoc (292),https://d1m1s6un1a8qgj.cloudfront.net/media/cache/22/ac/22ac988f1b4664a8d6b1d01d6c2689ea.png,292-38,1000.0,"""Senior Product Designer, Provider Experience"""
4372,23,Nov 16-30 2021 Network Fees,"Zippity, Inc (434)",https://d1m1s6un1a8qgj.cloudfront.net/media/cache/d5/6d/d56d604b86700696d0a1ff2a12078ec8.png,434-40,195.0,Frontend Software Developer (React)
4371,23,Nov 16-30 2021 Network Fees,McKinsey & Company (541),https://d1m1s6un1a8qgj.cloudfront.net/media/cache/eb/7f/eb7f1c36bfed99d95ba32795ca57ce0e.png,541-23,438.06,Design Director-McKinsey
4370,23,Nov 16-30 2021 Network Fees,"Compass, Inc. (231)",https://d1m1s6un1a8qgj.cloudfront.net/media/cache/10/fa/10fa3e35aa7446a4aa51fad53d27de51.png,231-165,500.0,"""Sr. Product Designer, Sell Side"""
4369,23,Nov 16-30 2021 Network Fees,"Compass, Inc. (231)",https://d1m1s6un1a8qgj.cloudfront.net/media/cache/10/fa/10fa3e35aa7446a4aa51fad53d27de51.png,231-164,272.0,Sr Visual Designer
4368,23,Nov 16-30 2021 Network Fees,LexGo (304),https://d1m1s6un1a8qgj.cloudfront.net/media/cache/a5/0c/a50c837e2c583455dee51318b12f1368.png,304-15,21.0,Senior Product Designer
4367,23,Nov 16-30 2021 Network Fees,Domino Data Lab (317),https://d1m1s6un1a8qgj.cloudfront.net/media/cache/ba/31/ba31b4a7f7ae6986b7c0fab2e7248d4c.png,317-81,672.0,Engineering Manager / Tech Lead
4366,23,Nov 16-30 2021 Network Fees,Fabric (214),https://d1m1s6un1a8qgj.cloudfront.net/media/cache/0d/e6/0de689d72125d61ae5f3c84be22d2a3b.png,214-92,297.5,Technical Writer
